Player,Pos,GP,W%,K,D,A,KDA,GD10,XPD10,CSD10,CSPM,DPM,WPM,WCPM,rank,goldrank,xprank,csrank,wrrank,kdarank
Deft,ADC,46.0,0.67,196.0,80.0,225.0,5.300000000000001,237.0,223.0,9.3,9.8,571.0,0.49,0.35,1,1.0,1.0,2.0,11.0,10.0
Life,Support,30.0,0.73,21.0,50.0,256.0,5.5,192.0,99.0,9.7,1.6999999999999997,158.0,1.48,0.29,2,3.0,10.0,1.0,1.0,8.0
Chovy,Middle,43.0,0.67,143.0,65.0,220.0,5.6,87.0,182.0,9.2,9.3,555.0,0.52,0.37,3,12.0,2.0,3.0,14.0,7.0
Viper,ADC,45.0,0.36,141.0,73.0,147.0,3.9000000000000004,92.0,145.0,8.5,9.9,509.0,0.47,0.4,4,10.0,5.0,4.0,52.0,23.0
Kiin,Top,46.0,0.4099999999999999,98.0,129.0,219.0,2.5,171.0,101.0,7.199999999999999,8.2,471.0,0.57,0.22999999999999998,5,4.0,9.0,7.0,37.0,47.0
