Player,Pos,GP,W%,K,D,A,KDA,GD10,XPD10,CSD10,CSPM,DPM,WPM,WCPM,rank,goldrank,xprank,csrank,wrrank,kdarank
Blaber,Jungle,18.0,0.94,72.0,31.0,134.0,6.6,221.0,402.0,6.7,6.0,370.0,0.62,0.35,1,4.0,1.0,2.0,1.0,5.0
Zven,ADC,18.0,0.94,87.0,16.0,109.0,12.3,328.0,220.0,6.5,9.4,534.0,0.41999999999999993,0.37,2,1.0,4.0,3.0,5.0,1.0
Licorice,Top,18.0,0.94,44.0,32.0,108.0,4.8,222.0,191.0,4.9,8.6,468.0,0.44999999999999996,0.20999999999999996,3,3.0,6.0,5.0,2.0,10.0
Vulcan,Support,18.0,0.94,22.0,24.0,168.0,7.9,237.0,245.0,2.8,1.3,161.0,1.53,0.32,4,2.0,3.0,12.0,4.0,3.0
Ssumday,Top,20.0,0.55,49.0,36.0,78.0,3.5,136.0,257.0,4.0,8.4,403.0,0.45999999999999996,0.21999999999999997,5,7.0,2.0,7.0,14.0,25.0
