Player,Pos,GP,W%,K,D,A,KDA,GD10,XPD10,CSD10,CSPM,DPM,WPM,WCPM,rank,goldrank,xprank,csrank,wrrank,kdarank
Zoom,Top,16.0,1.0,47.0,26.0,125.0,6.6,407.0,363.0,9.6,8.1,437.0,0.51,0.18,1,3.0,4.0,8.0,1.0,15.0
Zven,ADC,18.0,0.94,87.0,16.0,109.0,12.3,328.0,220.0,6.5,9.4,534.0,0.41999999999999993,0.37,2,5.0,13.0,24.0,6.0,1.0
Blaber,Jungle,18.0,0.94,72.0,31.0,134.0,6.6,221.0,402.0,6.7,6.0,370.0,0.62,0.35,3,13.0,3.0,22.0,2.0,14.0
Vulcan,Support,18.0,0.94,22.0,24.0,168.0,7.9,237.0,245.0,2.8,1.3,161.0,1.53,0.32,6,10.0,9.0,60.0,5.0,4.0
Chovy,Middle,43.0,0.67,143.0,65.0,220.0,5.6,87.0,182.0,9.2,9.3,555.0,0.52,0.37,12,59.0,22.0,11.0,49.0,28.0
