Player,Pos,GP,W%,K,D,A,KDA,GD10,XPD10,CSD10,CSPM,DPM,WPM,WCPM,rank,goldrank,xprank,csrank,wrrank,kdarank
Zoom,Top,16.0,1.0,47.0,26.0,125.0,6.6,407.0,363.0,9.6,8.1,437.0,0.51,0.18,1,3.0,4.0,8.0,1.0,15.0
Blaber,Jungle,18.0,0.94,72.0,31.0,134.0,6.6,221.0,402.0,6.7,6.0,370.0,0.62,0.35,2,13.0,3.0,22.0,2.0,14.0
Deft,ADC,46.0,0.67,196.0,80.0,225.0,5.300000000000001,237.0,223.0,9.3,9.8,571.0,0.49,0.35,3,9.0,12.0,9.0,46.0,32.0
Zven,ADC,18.0,0.94,87.0,16.0,109.0,12.3,328.0,220.0,6.5,9.4,534.0,0.41999999999999993,0.37,4,5.0,13.0,24.0,6.0,1.0
Alphari,Top,18.0,0.72,57.0,32.0,80.0,4.3,302.0,208.0,10.1,8.5,450.0,0.49,0.15,5,7.0,16.0,5.0,23.0,68.0
