Player,Pos,GP,W%,K,D,A,KDA,GD10,XPD10,CSD10,CSPM,DPM,WPM,WCPM,rank,goldrank,xprank,csrank,wrrank,kdarank
Deft,ADC,46.0,0.67,196.0,80.0,225.0,5.300000000000001,237.0,223.0,9.3,9.8,571.0,0.49,0.35,1,1.0,1.0,2.0,11.0,10.0
Life,Support,30.0,0.73,21.0,50.0,256.0,5.5,192.0,99.0,9.7,1.6999999999999997,158.0,1.48,0.29,2,3.0,10.0,1.0,1.0,8.0
Chovy,Middle,43.0,0.67,143.0,65.0,220.0,5.6,87.0,182.0,9.2,9.3,555.0,0.52,0.37,3,12.0,2.0,3.0,14.0,7.0
Rascal,Top,44.0,0.7,103.0,82.0,225.0,4.0,131.0,85.0,2.5,8.1,366.0,0.48,0.2,4,6.0,11.0,14.0,4.0,21.0
Clid,Jungle,44.0,0.7,98.0,78.0,298.0,5.1,207.0,73.0,-0.3,5.4,227.0,0.67,0.59,6,2.0,14.0,30.0,3.0,12.0
