result,red_team,blue_team
0,Team SoloMid,OpTic Gaming
0,Echo Fox,Clutch Gaming
0,FlyQuest,100 Thieves
0,OpTic Gaming,Team Liquid
1,FlyQuest,Cloud9
0,100 Thieves,Golden Guardians
0,Echo Fox,Team SoloMid
1,Counter Logic Gaming,Clutch Gaming
1,Golden Guardians,OpTic Gaming
0,Team SoloMid,100 Thieves
0,Team Liquid,Cloud9
0,Echo Fox,Counter Logic Gaming
0,FlyQuest,Clutch Gaming
1,Counter Logic Gaming,OpTic Gaming
0,Golden Guardians,Cloud9
0,100 Thieves,Clutch Gaming
0,FlyQuest,Team SoloMid
0,Echo Fox,Team Liquid
1,Cloud9,OpTic Gaming
0,Counter Logic Gaming,100 Thieves
1,Team Liquid,Team SoloMid
0,Golden Guardians,Clutch Gaming
0,FlyQuest,Echo Fox
0,100 Thieves,OpTic Gaming
0,Counter Logic Gaming,Cloud9
0,Golden Guardians,OpTic Gaming
1,Clutch Gaming,Team SoloMid
0,Team SoloMid,Clutch Gaming
0,Clutch Gaming,Team SoloMid
0,Team SoloMid,Clutch Gaming
0,OpTic Gaming,Counter Logic Gaming
1,Counter Logic Gaming,OpTic Gaming
0,Counter Logic Gaming,Cloud9
1,Cloud9,Counter Logic Gaming
1,Counter Logic Gaming,Cloud9
1,Cloud9,Counter Logic Gaming
0,Clutch Gaming,Team Liquid
1,Clutch Gaming,Team Liquid
0,Clutch Gaming,Team Liquid
0,Team Liquid,Clutch Gaming
0,Clutch Gaming,Team Liquid
1,Clutch Gaming,Counter Logic Gaming
0,Counter Logic Gaming,Clutch Gaming
0,Clutch Gaming,Counter Logic Gaming
1,Counter Logic Gaming,Clutch Gaming
0,Clutch Gaming,Counter Logic Gaming
0,Cloud9,Team Liquid
0,Team Liquid,Cloud9
1,Cloud9,Team Liquid
1,Team Liquid,Cloud9
0,Cloud9,Team Liquid
