"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Morgana","Middle",1,"1.1%","2.2%","3.3%","0%","100%",2,2,5,3.5,"100.0%","11.8%","100%",-131,-309,-16,6.1,"17.0%",260,"17.8%","16.5%",0.74,0.02
"Nasus","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Middle",1,"1.1%","18.9%","63.3%","100%","100%",1,4,6,1.8,"63.6%","36.4%","0%",-121,228,-13,5.6,"14.8%",206,"8.4%","16.1%",0.65,0.04
"Nautilus","Support",39,"43.3%","18.9%","63.3%","44%","33%",30,148,256,1.9,"61.1%","27.1%","23%",-31,10,-0.7,1,"2.5%",141,"8.1%","8.7%",1.51,0.34
"Neeko","Top",1,"1.1%","0.0%","1.1%","100%","0%",4,4,11,3.8,"53.6%","33.3%","100%",2207,1387,45,7.9,"27.4%",612,"22.6%","23.1%",0.45,0.09
"Nidalee","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",6,0,9,15,"93.8%","0.0%","0%",263,738,16,6.2,"18.0%",605,"22.2%","20.9%",1.17,0.66
"Nocturne","Jungle",1,"1.1%","0.0%","2.2%","0%","100%",6,6,2,1.3,"66.7%","21.4%","0%",-885,363,21,5.2,"23.2%",266,"14.7%","28.2%",0.5,0.18
"Nocturne","Top",1,"1.1%","0.0%","2.2%","0%","100%",0,6,1,0.2,"20.0%","35.3%","0%",-867,-1946,-31,5.1,"24.6%",286,"24.3%","14.9%",0.3,0
"Olaf","Jungle",7,"7.8%","20.0%","28.9%","71%","86%",20,24,40,2.5,"68.2%","33.3%","43%",79,140,8.3,5.5,"14.7%",297,"17.2%","17.5%",0.34,0.42
"Olaf","Top",1,"1.1%","20.0%","28.9%","0%","100%",3,4,2,1.3,"83.3%","22.2%","0%",632,245,11,8.3,"23.0%",488,"25.7%","27.0%",0.49,0.23
"Orianna","Middle",3,"3.3%","1.1%","4.4%","0%","0%",4,8,10,1.8,"56.0%","15.1%","0%",307,454,18.7,8,"26.0%",405,"28.4%","25.3%",0.39,0.17
"Ornn","Jungle",1,"1.1%","46.7%","77.8%","0%","0%",1,9,6,0.8,"77.8%","24.3%","0%",216,390,6,5.2,"16.6%",424,"17.1%","21.3%",0.16,0
"Ornn","Middle",11,"12.2%","46.7%","77.8%","73%","27%",13,26,94,4.1,"67.7%","23.4%","18%",-251,-201,-8.8,6.5,"17.4%",330,"15.9%","17.7%",0.43,0.17
"Ornn","Top",16,"17.8%","46.7%","77.8%","25%","13%",19,34,65,2.5,"61.3%","14.5%","25%",-190,-134,-7.2,7.1,"20.0%",288,"18.7%","20.2%",0.46,0.14
"Pantheon","Jungle",6,"6.7%","48.9%","65.6%","50%","17%",23,14,42,4.6,"71.4%","15.9%","50%",128,-224,-7.2,4.6,"13.5%",286,"13.2%","18.5%",0.37,0.27
"Pantheon","Middle",7,"7.8%","48.9%","65.6%","14%","14%",19,20,26,2.3,"75.0%","20.4%","29%",233,-121,-0.1,7.6,"22.9%",336,"19.7%","21.9%",0.47,0.22
"Pantheon","Top",2,"2.2%","48.9%","65.6%","100%","50%",14,3,13,9,"69.2%","16.7%","50%",304,352,2,7.6,"22.2%",551,"24.1%","24.9%",0.49,0.18
