"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Karma","Support",3,"0.9%","1.2%","3.3%","67%","67%",2,8,32,4.3,"61.8%","17.8%",0.9,223,"8.8%","9.4%",1.46,0.27
"Karthus","Jungle",1,"0.3%","0.3%","0.6%","100%","100%",3,3,11,4.7,"87.5%","17.6%",6.9,760,"31.1%","21.3%",0.94,0.38
"Kassadin","Middle",24,"7.3%","21.8%","29.4%","63%","83%",134,41,92,5.5,"70.8%","17.4%",9,524,"30.1%","27.6%",0.39,0.17
"Kassadin","Support",1,"0.3%","21.8%","29.4%","0%","100%",5,1,4,9,"90.0%","6.7%",9,683,"39.0%","30.1%",0.55,0.25
"Kayle","Top",1,"0.3%","0.0%","0.3%","100%","100%",1,1,7,8,"44.4%","25.0%",9.3,333,"19.3%","22.7%",0.38,0.17
"Kennen","Top",15,"4.5%","2.4%","7.0%","60%","80%",35,50,77,2.2,"53.8%","28.2%",7.1,446,"25.2%","20.1%",0.38,0.17
"Kindred","ADC",1,"0.3%","3.6%","8.8%","0%","100%",1,1,3,4,"80.0%","10.0%",9.8,378,"21.6%","26.7%",0.32,0.82
"Kindred","Jungle",16,"4.8%","3.6%","8.8%","63%","88%",63,41,101,4,"67.2%","20.3%",6.2,368,"18.0%","21.3%",0.27,0.57
"Kled","Middle",4,"1.2%","1.5%","3.0%","75%","75%",16,7,20,5.1,"66.7%","18.4%",8.4,385,"22.3%","25.7%",0.42,0.16
"Kled","Top",1,"0.3%","1.5%","3.0%","100%","100%",2,2,13,7.5,"57.7%","22.2%",8.2,325,"15.3%","20.8%",0.5,0.07
"Kog'Maw","ADC",1,"0.3%","0.0%","0.3%","0%","100%",0,4,1,0.3,"25.0%","28.6%",9.9,623,"42.5%","28.8%",0.37,0.34
"LeBlanc","Middle",63,"19.1%","45.5%","65.5%","48%","32%",258,112,322,5.2,"70.0%","13.9%",7.7,529,"27.8%","23.4%",0.36,0.28
"LeBlanc","Support",2,"0.6%","45.5%","65.5%","50%","100%",8,3,18,8.7,"78.8%","12.0%",8.2,541,"24.5%","23.3%",0.4,0.32
"LeBlanc","Top",1,"0.3%","45.5%","65.5%","0%","100%",1,4,1,0.5,"50.0%","16.0%",7,369,"28.4%","19.1%",0.41,0.41
"Lee Sin","Jungle",104,"31.5%","19.4%","50.9%","50%","64%",300,290,696,3.4,"70.7%","20.6%",5.2,241,"12.7%","18.1%",0.59,0.33
"Leona","Support",93,"28.2%","10.0%","38.2%","48%","61%",82,316,699,2.5,"62.2%","25.3%",1.1,115,"6.5%","9.3%",1.61,0.38
"Lissandra","Middle",23,"7.0%","3.6%","10.6%","57%","96%",52,70,169,3.2,"69.5%","22.9%",8,432,"24.3%","21.9%",0.34,0.2
"Lucian","ADC",8,"2.4%","13.6%","22.7%","25%","100%",22,19,27,2.6,"67.1%","15.0%",9.6,402,"26.5%","28.5%",0.41,0.39
"Lucian","Middle",19,"5.8%","13.6%","22.7%","32%","53%",76,58,68,2.5,"69.2%","19.1%",8.4,500,"29.4%","26.1%",0.43,0.35
"Lucian","Top",3,"0.9%","13.6%","22.7%","67%","0%",15,21,22,1.8,"61.7%","30.0%",8.2,897,"32.0%","27.1%",0.38,0.14
"Lulu","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,2,4,2,"100.0%","14.3%",0.9,92,"6.3%","7.0%",1.46,0.15
"Malphite","Top",6,"1.8%","0.9%","2.7%","50%","83%",16,14,30,3.3,"62.2%","16.3%",7.5,361,"21.7%","22.9%",0.42,0.21
"Maokai","Jungle",2,"0.6%","2.1%","12.4%","0%","50%",1,7,5,0.9,"75.0%","25.0%",4.5,364,"17.9%","14.3%",0.37,0.49
"Maokai","Middle",1,"0.3%","2.1%","12.4%","0%","0%",1,6,1,0.3,"40.0%","28.6%",6.3,464,"30.6%","18.0%",0.43,0.18
"Maokai","Support",3,"0.9%","2.1%","12.4%","33%","67%",2,12,23,2.1,"56.8%","28.6%",5.2,307,"17.9%","15.4%",0.46,0.27
"Maokai","Top",28,"8.5%","2.1%","12.4%","50%","79%",42,77,179,2.9,"59.9%","23.0%",6.4,470,"24.7%","18.0%",0.43,0.19
"Miss Fortune","ADC",178,"53.9%","6.4%","60.3%","49%","57%",726,374,967,4.5,"72.8%","15.7%",9.7,535,"29.2%","28.7%",0.38,0.41
"Mordekaiser","Middle",2,"0.6%","24.8%","48.2%","50%","50%",11,9,7,2,"60.0%","26.5%",7.5,496,"29.4%","24.2%",0.51,0.19
"Mordekaiser","Top",75,"22.7%","24.8%","48.2%","49%","68%",257,262,348,2.3,"58.5%","25.3%",7.4,452,"24.9%","22.0%",0.4,0.13
"Morgana","Support",7,"2.1%","3.3%","5.5%","43%","86%",3,18,43,2.6,"68.7%","21.7%",0.9,157,"8.2%","8.8%",1.76,0.38
"Nautilus","Middle",4,"1.2%","16.7%","61.5%","50%","0%",10,11,34,4,"64.7%","21.2%",6.6,410,"22.3%","19.4%",0.23,0.36
"Nautilus","Support",144,"43.6%","16.7%","61.5%","49%","33%",109,490,1124,2.5,"64.3%","25.3%",1.5,145,"8.2%","9.6%",1.45,0.28
"Neeko","Middle",20,"6.1%","3.0%","9.4%","45%","40%",59,68,122,2.7,"68.8%","21.5%",7.3,500,"25.1%","21.5%",0.37,0.24
"Neeko","Top",1,"0.3%","3.0%","9.4%","0%","100%",2,4,3,1.3,"100.0%","19.0%",8.1,526,"34.7%","28.2%",0.32,0.18
"Nidalee","Jungle",10,"3.0%","2.7%","5.8%","50%","90%",24,26,49,2.8,"66.4%","21.8%",7,316,"18.3%","22.1%",0.98,0.62
"Nocturne","Jungle",2,"0.6%","0.6%","1.8%","50%","100%",3,4,12,3.8,"57.7%","20.0%",6.2,157,"10.1%","18.0%",0.76,0.49
"Nocturne","Middle",2,"0.6%","0.6%","1.8%","0%","50%",2,11,10,1.1,"66.7%","23.9%",7.6,354,"20.0%","21.1%",0.21,0.14
"Nunu","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",0,4,2,0.5,"50.0%","22.2%",4.6,159,"13.2%","15.1%",1.06,0.18
"Olaf","Jungle",54,"16.4%","48.2%","64.5%","44%","39%",187,160,288,3,"65.0%","20.6%",5.6,335,"17.5%","19.4%",0.33,0.4
"Orianna","Middle",10,"3.0%","1.2%","4.8%","60%","70%",41,23,74,5,"69.3%","16.5%",8.1,605,"30.2%","22.9%",0.34,0.3
"Orianna","Support",2,"0.6%","1.2%","4.8%","0%","0%",2,9,6,0.9,"50.0%","22.0%",7.9,371,"26.8%","21.1%",0.48,0.21
"Ornn","Middle",4,"1.2%","26.1%","60.3%","50%","0%",15,12,39,4.5,"87.1%","16.9%",6.9,409,"18.5%","21.5%",0.54,0.24
"Ornn","Top",109,"33.0%","26.1%","60.3%","50%","48%",195,311,748,3,"61.4%","20.7%",6.8,380,"19.4%","19.1%",0.46,0.14
"Pantheon","ADC",1,"0.3%","27.0%","34.5%","0%","100%",0,5,2,0.4,"66.7%","29.4%",6.5,151,"12.4%","19.7%",0.37,0.07
"Pantheon","Jungle",4,"1.2%","27.0%","34.5%","50%","25%",8,11,23,2.8,"59.6%","20.8%",5.2,242,"13.7%","16.9%",0.68,0.31
"Pantheon","Middle",18,"5.5%","27.0%","34.5%","50%","22%",56,61,120,2.9,"70.4%","25.5%",6.6,382,"20.0%","20.8%",0.36,0.21
"Pantheon","Support",2,"0.6%","27.0%","34.5%","0%","50%",6,12,14,1.7,"76.9%","27.3%",6.8,408,"21.0%","22.7%",0.54,0.03
"Poppy","Jungle",1,"0.3%","1.2%","2.7%","100%","100%",2,0,3,5,"50.0%","0.0%",5.9,184,"10.9%","19.6%",1.18,0.37
"Poppy","Top",4,"1.2%","1.2%","2.7%","50%","100%",2,14,20,1.6,"44.0%","31.1%",6.6,347,"17.0%","17.1%",0.48,0.22
"Pyke","ADC",3,"0.9%","0.0%","1.2%","0%","67%",12,12,13,2.1,"71.4%","20.0%",1.8,214,"11.4%","18.0%",2.09,0.77
"Pyke","Support",1,"0.3%","0.0%","1.2%","100%","100%",5,4,9,3.5,"63.6%","23.5%",1.7,231,"6.9%","17.6%",2.53,0.73
"Qiyana","Jungle",14,"4.2%","11.8%","20.6%","43%","36%",36,49,83,2.4,"59.2%","23.6%",5.5,279,"14.6%","17.2%",1.09,0.66
"Qiyana","Middle",12,"3.6%","11.8%","20.6%","33%","50%",51,42,56,2.5,"76.4%","23.2%",7.2,458,"25.9%","23.1%",0.6,0.35
"Qiyana","Top",3,"0.9%","11.8%","20.6%","33%","100%",7,10,16,2.3,"53.5%","25.0%",7.1,411,"21.5%","20.6%",0.26,0.29
"Quinn","Top",2,"0.6%","1.8%","2.4%","50%","100%",4,7,9,1.9,"43.3%","30.4%",8.5,601,"27.5%","24.3%",0.36,0.15
"Rakan","Support",34,"10.3%","2.1%","12.4%","59%","82%",17,99,324,3.4,"75.8%","23.6%",1.1,129,"7.2%","9.3%",1.7,0.41
"Rek'Sai","Jungle",72,"21.8%","15.5%","37.3%","50%","63%",231,218,380,2.8,"62.2%","22.9%",5.2,249,"13.7%","17.9%",0.4,0.47
"Renekton","Middle",4,"1.2%","37.9%","70.6%","50%","50%",11,11,20,2.8,"67.4%","20.8%",8.5,385,"21.0%","26.2%",0.38,0.23
"Renekton","Support",1,"0.3%","37.9%","70.6%","0%","0%",1,4,5,1.5,"54.5%","16.0%",7.5,426,"20.9%","22.9%",0.53,0.25
"Renekton","Top",103,"31.2%","37.9%","70.6%","55%","20%",292,263,527,3.1,"56.8%","20.2%",7.8,343,"19.4%","22.9%",0.41,0.21
"Rumble","Middle",54,"16.4%","31.8%","52.4%","46%","26%",211,135,369,4.3,"72.4%","17.4%",6.9,514,"27.0%","21.4%",0.45,0.12
"Rumble","Support",1,"0.3%","31.8%","52.4%","0%","100%",0,4,2,0.5,"66.7%","25.0%",6.4,139,"11.5%","17.1%",0.83,0.26
"Rumble","Top",13,"3.9%","31.8%","52.4%","62%","54%",43,58,78,2.1,"60.2%","27.4%",7,674,"29.1%","21.0%",0.44,0.1
"Ryze","Middle",6,"1.8%","2.1%","3.9%","50%","50%",27,19,42,3.6,"70.4%","17.3%",9,579,"29.8%","27.7%",0.54,0.2
"Sejuani","Jungle",42,"12.7%","14.2%","27.0%","48%","52%",72,110,310,3.5,"76.4%","20.1%",5.4,233,"13.4%","17.4%",0.56,0.45
"Senna","ADC",56,"17.0%","46.4%","63.9%","59%","50%",170,128,465,5,"79.5%","18.5%",3.5,469,"24.8%","17.6%",0.87,0.73
"Senna","Support",2,"0.6%","46.4%","63.9%","0%","0%",1,7,4,0.7,"100.0%","20.6%",1.1,216,"16.5%","10.4%",1.34,0.61
"Sett","Jungle",8,"2.4%","53.0%","80.3%","38%","50%",9,27,37,1.7,"56.8%","24.8%",5.2,238,"14.2%","16.0%",0.68,0.49
"Sett","Middle",4,"1.2%","53.0%","80.3%","50%","0%",4,11,18,2,"56.4%","30.6%",7.2,322,"19.6%","19.4%",0.34,0.32
"Sett","Support",20,"6.1%","53.0%","80.3%","50%","10%",31,87,150,2.1,"59.5%","26.0%",1.2,224,"11.0%","10.1%",1.62,0.46
"Sett","Top",58,"17.6%","53.0%","80.3%","50%","19%",119,175,312,2.5,"57.1%","21.6%",7.2,395,"21.6%","21.7%",0.41,0.22
"Shen","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",1,"0.3%","0.3%","0.6%","0%","100%",3,4,1,1,"44.4%","21.1%",9.6,429,"33.4%","28.0%",0.33,0.51
"Sylas","Jungle",12,"3.6%","13.6%","30.6%","42%","83%",37,31,62,3.2,"71.7%","22.1%",6.1,355,"19.3%","19.8%",0.67,0.42
"Sylas","Middle",39,"11.8%","13.6%","30.6%","46%","79%",129,123,206,2.7,"68.8%","21.4%",7.5,434,"26.0%","22.8%",0.39,0.18
"Sylas","Top",5,"1.5%","13.6%","30.6%","20%","80%",10,22,21,1.4,"52.5%","25.0%",6.2,475,"23.5%","18.9%",0.34,0.14
"Syndra","ADC",4,"1.2%","12.4%","27.0%","75%","100%",14,8,33,5.9,"61.8%","23.5%",8.5,487,"26.2%","22.8%",0.42,0.22
"Syndra","Middle",44,"13.3%","12.4%","27.0%","57%","34%",165,114,239,3.5,"67.9%","18.5%",8.4,589,"29.7%","23.6%",0.43,0.16
"Tahm Kench","ADC",1,"0.3%","10.0%","27.6%","0%","0%",2,4,7,2.3,"81.8%","16.0%",1.6,216,"10.6%","10.8%",0.92,0.28
"Tahm Kench","Support",57,"17.3%","10.0%","27.6%","56%","37%",48,163,445,3,"63.4%","22.5%",2.7,145,"7.3%","11.6%",1.04,0.2
"Taliyah","Jungle",5,"1.5%","2.1%","5.2%","60%","60%",17,14,37,3.9,"74.0%","22.2%",5.7,408,"21.8%","19.8%",0.85,0.29
"Taliyah","Middle",5,"1.5%","2.1%","5.2%","20%","40%",16,16,32,3,"65.8%","14.4%",7.5,505,"24.8%","23.6%",0.41,0.21
"Talon","Middle",1,"0.3%","0.0%","0.3%","0%","100%",5,2,5,5,"62.5%","11.8%",6.8,337,"18.9%","23.1%",0.25,0.09
"Taric","Support",49,"14.8%","9.7%","24.5%","53%","31%",22,129,478,3.9,"77.3%","21.7%",1.1,98,"5.3%","9.4%",1.43,0.27
"Thresh","Support",85,"25.8%","35.8%","61.5%","56%","39%",73,242,854,3.8,"75.3%","21.9%",1,128,"6.9%","9.5%",1.56,0.36
"Tristana","ADC",1,"0.3%","0.0%","0.3%","100%","100%",4,3,8,4,"60.0%","25.0%",9.9,401,"20.5%","26.0%",0.38,0.76
"Trundle","Jungle",64,"19.4%","10.3%","29.7%","59%","50%",130,144,538,4.6,"73.5%","17.1%",4.7,183,"9.4%","16.3%",0.44,0.52
"Twisted Fate","Middle",1,"0.3%","0.0%","0.3%","100%","100%",2,1,8,10,"76.9%","10.0%",8.2,397,"26.0%","23.5%",0.37,0.09
"Varus","ADC",145,"43.9%","22.1%","67.3%","50%","37%",597,350,803,4,"69.1%","18.1%",9.3,568,"29.1%","27.4%",0.38,0.45
"Varus","Middle",4,"1.2%","22.1%","67.3%","25%","25%",5,21,29,1.6,"66.7%","26.9%",8,719,"27.9%","20.3%",0.4,0.4
"Vayne","ADC",1,"0.3%","0.9%","1.8%","0%","100%",1,4,1,0.5,"100.0%","23.5%",7.9,375,"26.4%","29.5%",0.27,0.09
"Vayne","Middle",1,"0.3%","0.9%","1.8%","100%","100%",7,2,4,5.5,"73.3%","33.3%",8.8,727,"31.1%","30.5%",0.54,0.1
"Vayne","Top",1,"0.3%","0.9%","1.8%","100%","100%",7,2,4,5.5,"64.7%","16.7%",9.1,775,"41.6%","30.3%",0.43,0.07
"Viktor","Middle",4,"1.2%","0.3%","1.5%","75%","75%",19,4,17,9,"73.5%","12.5%",9.1,694,"38.3%","26.8%",0.46,0.16
"Vladimir","Middle",2,"0.6%","0.9%","3.6%","0%","100%",2,4,4,1.5,"75.0%","12.5%",8.7,514,"31.5%","24.9%",0.44,0.19
"Vladimir","Top",7,"2.1%","0.9%","3.6%","43%","100%",23,18,33,3.1,"75.7%","18.0%",8.8,599,"33.1%","26.2%",0.36,0.2
"Volibear","Support",1,"0.3%","0.0%","0.3%","100%","100%",3,2,9,6,"80.0%","25.0%",1.5,186,"10.4%","12.8%",1.12,0.23
"Wukong","Jungle",1,"0.3%","14.5%","28.2%","0%","0%",4,5,3,1.4,"87.5%","20.8%",5.2,208,"14.5%","22.9%",0.3,0.3
"Wukong","Top",44,"13.3%","14.5%","28.2%","45%","39%",130,118,245,3.2,"63.3%","20.9%",7.2,383,"20.7%","21.7%",0.35,0.18
"Xayah","ADC",7,"2.1%","0.9%","3.0%","29%","86%",18,18,33,2.8,"59.3%","16.1%",9.9,431,"25.5%","27.7%",0.33,0.34
"Xin Zhao","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",2,3,4,2,"66.7%","17.6%",3.8,323,"24.3%","19.2%",0.59,0.21
"Yasuo","Middle",1,"0.3%","0.9%","1.2%","100%","100%",5,2,10,7.5,"65.2%","33.3%",7.6,358,"18.0%","22.3%",0.31,0.19
"Yuumi","Support",13,"3.9%","6.1%","10.0%","54%","85%",10,20,158,8.4,"83.6%","10.6%",0.3,372,"14.9%","9.0%",1.28,0.14
"Zac","Jungle",2,"0.6%","0.0%","0.6%","100%","100%",3,3,27,10,"71.4%","9.4%",5.1,327,"11.6%","15.9%",0.38,0.48
"Ziggs","Middle",1,"0.3%","0.0%","0.3%","100%","100%",4,1,7,11,"78.6%","25.0%",8.7,563,"31.2%","24.9%",0.43,0.23
"Zilean","Middle",4,"1.2%","0.9%","2.1%","50%","75%",8,7,20,4,"58.3%","16.7%",8.8,504,"28.7%","21.2%",0.43,0.23
"Zoe","Middle",68,"20.6%","43.0%","63.9%","40%","34%",252,126,396,5.1,"74.1%","13.7%",7.8,614,"32.9%","23.2%",0.43,0.2
"Zoe","Top",1,"0.3%","43.0%","63.9%","0%","0%",2,5,1,0.6,"75.0%","21.7%",6.7,529,"33.6%","22.3%",0.17,0.14
