result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,0.995,0.887,0.745,0.798,1.064,1.062,1.096,1.055,1.121,0.899,4.489000000000001,5.233
1,1.197,1.03,1.044,0.999,0.722,0.949,0.572,1.006,0.718,0.903,4.992000000000001,4.148
0,0.774,0.667,0.896,0.839,0.786,0.935,0.739,0.95,0.992,0.982,3.962,4.598
1,1.13,1.012,0.813,1.072,0.826,0.686,0.93,1.263,0.984,0.772,4.853,4.635
0,0.865,0.838,0.683,1.132,0.691,1.356,0.994,1.012,1.121,1.04,4.209,5.523000000000001
1,1.189,1.017,1.113,0.887,0.909,1.001,0.691,0.745,0.987,0.664,5.114999999999999,4.088
1,0.813,0.986,1.952,0.992,0.767,1.04,1.012,0.845,1.038,0.758,5.510000000000001,4.6930000000000005
1,0.896,0.752,1.004,0.733,0.903,0.605,0.698,1.128,1.036,0.553,4.288,4.0200000000000005
0,0.473,0.89,0.835,0.813,1.04,1.197,1.03,1.039,0.912,1.051,4.051,5.229
1,1.238,1.103,1.316,1.0,1.088,0.615,0.785,0.624,0.691,0.786,5.745,3.501
0,1.067,0.851,0.767,0.965,1.014,1.025,1.122,1.007,0.887,0.725,4.664,4.766
0,0.779,0.814,0.663,1.175,0.888,1.033,0.831,1.128,1.132,0.9,4.319,5.024
1,1.382,0.847,1.044,0.782,0.983,0.947,0.986,0.883,0.992,0.767,5.037999999999999,4.575
0,0.896,0.572,1.184,0.542,0.874,0.898,1.082,0.813,0.878,0.758,4.068,4.429
1,0.781,0.943,0.767,0.984,0.88,1.11,0.875,1.316,0.798,0.865,4.355,4.964
1,1.062,1.354,0.835,1.271,0.849,1.025,0.909,1.113,0.887,0.725,5.371,4.659
0,0.774,0.667,0.792,1.012,0.876,1.361,0.851,1.309,0.965,0.88,4.121,5.366
0,1.261,1.03,0.967,0.912,0.722,1.033,1.3,0.764,0.803,0.9,4.8919999999999995,4.800000000000001
0,0.947,0.927,0.846,1.004,0.484,0.844,1.177,1.15,1.41,0.961,4.208,5.542
0,0.717,0.866,0.649,1.182,0.984,0.898,1.012,1.171,0.878,1.02,4.398,4.979000000000001
0,0.566,0.937,0.578,0.587,0.839,1.165,1.354,1.119,0.93,0.786,3.507,5.353999999999999
1,0.898,1.082,0.845,1.181,0.969,0.999,1.207,1.077,0.795,0.861,4.9750000000000005,4.939
1,0.936,1.037,1.004,0.587,0.801,0.665,1.018,1.309,1.071,1.086,4.365,5.149
0,0.903,0.986,0.661,0.622,0.686,0.645,1.103,0.872,1.017,1.088,3.8579999999999997,4.725
0,1.07,0.785,0.708,0.839,0.786,0.8,0.806,0.835,0.813,0.768,4.188,4.021999999999999
0,1.197,0.808,0.967,0.782,1.053,1.172,1.177,1.007,1.085,1.524,4.807,5.965
1,0.95,0.667,0.663,0.839,1.025,1.141,0.819,1.039,0.617,0.498,4.144,4.114
1,0.634,0.941,0.709,1.133,0.861,0.935,0.958,0.922,0.748,0.686,4.278,4.249
1,0.884,0.909,1.15,1.068,0.909,0.898,1.029,0.813,1.182,0.871,4.92,4.793
0,1.238,1.103,0.999,0.875,1.088,0.949,0.964,1.184,0.733,0.874,5.303,4.704
1,0.977,0.943,0.926,0.984,0.977,0.8,1.096,1.159,0.813,0.942,4.807,4.8100000000000005
1,1.057,0.667,0.792,0.839,0.895,0.914,0.963,0.845,0.979,1.09,4.25,4.791
1,1.033,0.941,1.128,1.133,0.861,1.001,0.691,0.666,1.0,1.064,5.095999999999999,4.422
0,0.749,1.03,0.967,0.999,0.729,1.02,0.517,0.767,0.984,1.142,4.474,4.43
1,0.95,1.428,1.236,1.077,0.899,0.903,0.739,0.703,1.004,0.67,5.59,4.019
0,0.936,1.084,1.106,1.094,0.924,1.078,0.8,0.833,0.832,1.152,5.144000000000001,4.695
1,1.141,0.847,1.039,0.782,0.729,0.671,1.207,0.747,0.663,0.9,4.538,4.188000000000001
0,1.172,0.96,1.171,0.979,0.552,0.949,0.937,1.006,1.097,1.008,4.834,4.997
0,1.13,0.96,0.961,0.878,0.758,0.949,0.752,1.004,1.112,0.711,4.686999999999999,4.5280000000000005
1,0.896,1.104,1.006,0.587,0.874,1.13,1.082,1.171,1.182,1.02,4.467,5.584999999999999
0,0.932,0.961,0.487,0.912,0.722,0.781,0.851,0.926,1.436,0.99,4.013999999999999,4.984
1,0.977,0.517,0.926,0.984,0.977,1.197,0.808,0.892,0.912,0.796,4.381,4.6049999999999995
1,1.596,0.985,1.039,1.16,0.729,0.977,0.517,0.767,0.984,0.99,5.509,4.235
1,0.781,0.649,1.489,0.984,1.142,0.932,0.976,1.039,0.821,0.983,5.045,4.7509999999999994
