"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","Jungle",1,"7.7%","23.1%","38.5%","0%","100%",1,2,4,2.5,"62.5%","16.7%","0%",291,270,-8,5.3,"15.7%",375,"26.4%","16.1%",1.26,0.48
"Taliyah","Middle",1,"7.7%","23.1%","38.5%","0%","0%",4,1,5,9,"90.0%","6.3%","100%",423,84,3,8.2,"26.7%",617,"35.6%","25.9%",0.48,0.06
"Thresh","Support",2,"15.4%","23.1%","38.5%","50%","50%",3,5,9,2.4,"70.6%","19.2%","0%",-57,-333,-13.5,0.4,"1.5%",61,"4.8%","10.8%",1.8,0.3
"Trundle","Jungle",1,"7.7%","0.0%","7.7%","100%","100%",3,1,13,16,"76.2%","25.0%","100%",201,-115,-9,4.6,"9.7%",236,"11.2%","17.1%",1.14,0.66
"Varus","ADC",3,"23.1%","38.5%","61.5%","67%","100%",17,6,13,5,"66.7%","12.8%","0%",-373,-161,3.3,11,"32.1%",591,"29.4%","26.5%",0.39,0.46
"Vladimir","Top",1,"7.7%","23.1%","30.8%","100%","100%",7,0,11,18,"85.7%","0.0%","0%",-150,-169,-4,9.3,"24.9%",927,"43.7%","25.7%",0.43,0.19
"Volibear","Support",1,"7.7%","7.7%","15.4%","0%","100%",0,6,3,0.5,"75.0%","28.6%","0%",-224,-311,13,1.7,"5.7%",65,"4.9%","7.3%",1.97,0.73
"Xayah","ADC",6,"46.2%","38.5%","84.6%","50%","17%",22,12,29,4.3,"69.9%","15.0%","17%",16,-11,-1.8,10.7,"34.9%",458,"26.0%","29.1%",0.46,0.34
"Xin Zhao","-",0,"0%","23.1%","23.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Middle",1,"7.7%","7.7%","15.4%","100%","100%",0,1,3,3,"42.9%","50.0%","100%",-134,-118,-5,9.2,"25.1%",134,"12.6%","18.4%",0.33,0.33
"Yuumi","-",0,"0%","92.3%","92.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
