"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Skarner","Jungle",18,"19.4%","12.9%","32.3%","67%","78%",18,44,126,3.3,"63.2%","26.2%","33%",56,49,2.2,4.7,"12.6%",130,"7.3%","15.5%",0.82,0.4
"Sona","ADC",13,"14.0%","58.1%","72.0%","62%","62%",26,30,118,4.8,"84.2%","20.8%","23%",-659,-300,-61.3,4.8,"19.5%",345,"20.6%","20.7%",0.86,0.27
"Sylas","Jungle",10,"10.8%","44.1%","73.1%","30%","50%",16,24,32,2,"54.5%","19.7%","20%",14,68,4.7,5.2,"14.7%",264,"15.0%","17.6%",0.37,0.33
"Sylas","Middle",12,"12.9%","44.1%","73.1%","58%","17%",31,21,56,4.1,"65.9%","15.7%","33%",152,168,3.4,8.8,"25.9%",400,"24.9%","23.5%",0.47,0.18
"Sylas","Top",5,"5.4%","44.1%","73.1%","60%","40%",6,13,31,2.8,"72.5%","24.1%","0%",164,36,-2,8.5,"26.1%",529,"27.9%","22.2%",0.42,0.19
"Syndra","ADC",1,"1.1%","2.2%","8.6%","0%","100%",3,4,2,1.3,"45.5%","16.7%","0%",-418,421,8,8.1,"21.8%",432,"24.1%","21.3%",0.47,0.22
"Syndra","Middle",5,"5.4%","2.2%","8.6%","40%","20%",13,7,19,4.6,"59.3%","11.1%","60%",184,-193,4.4,8.3,"25.1%",585,"26.7%","23.2%",0.48,0.16
"Tahm Kench","Support",27,"29.0%","18.3%","47.3%","33%","44%",21,79,139,2,"63.2%","21.9%","26%",105,-12,18.2,2.6,"7.7%",133,"7.7%","11.1%",1.47,0.24
"Taliyah","Middle",3,"3.2%","0.0%","3.2%","67%","33%",7,7,14,3,"61.8%","29.2%","67%",39,-157,-7.3,7.9,"22.8%",377,"23.0%","20.3%",0.44,0.18
"Talon","Middle",1,"1.1%","0.0%","1.1%","0%","0%",1,2,1,1,"40.0%","10.0%","0%",40,-291,3,8,"25.0%",307,"19.2%","23.4%",0.59,0.22
"Taric","Support",6,"6.5%","7.5%","14.0%","67%","0%",5,11,66,6.5,"80.7%","17.5%","33%",216,-107,34.7,3.1,"9.4%",59,"3.7%","11.8%",1.11,0.29
"Thresh","Support",6,"6.5%","4.3%","10.8%","33%","83%",3,14,46,3.5,"73.1%","20.9%","0%",155,-10,-7.5,0.6,"2.5%",119,"7.4%","9.8%",1.56,0.44
"Tristana","ADC",2,"2.2%","3.2%","10.8%","50%","100%",5,2,7,6,"70.6%","9.1%","0%",-599,-411,-14.5,10,"31.5%",242,"16.6%","27.2%",0.39,0.51
"Tristana","Middle",2,"2.2%","3.2%","10.8%","0%","100%",5,6,10,2.5,"68.2%","17.1%","0%",338,171,3.5,9.4,"28.1%",634,"31.2%","27.9%",0.45,0.37
"Tristana","Top",3,"3.2%","3.2%","10.8%","33%","0%",5,6,12,2.8,"63.0%","13.3%","0%",223,17,11.3,8.8,"27.3%",476,"23.7%","25.3%",0.44,0.21
"Trundle","Jungle",13,"14.0%","5.4%","19.4%","77%","100%",25,22,101,5.7,"75.0%","17.7%","46%",-63,-232,-4.5,4.3,"11.5%",180,"8.5%","15.6%",0.37,0.54
"Twisted Fate","Middle",11,"11.8%","21.5%","34.4%","64%","91%",29,22,48,3.5,"65.3%","20.4%","27%",50,-37,-6.5,8.5,"26.0%",356,"22.3%","26.0%",0.49,0.18
"Twisted Fate","Top",1,"1.1%","21.5%","34.4%","0%","100%",2,4,2,1,"66.7%","22.2%","100%",654,-53,-11,6.8,"20.3%",279,"24.0%","26.4%",0.43,0.22
"Varus","ADC",11,"11.8%","7.5%","19.4%","36%","73%",30,27,51,3,"64.8%","18.5%","0%",148,40,17.2,8.6,"26.9%",568,"29.5%","23.9%",0.44,0.35
"Veigar","Middle",2,"2.2%","2.2%","5.4%","50%","100%",10,2,9,9.5,"65.5%","11.1%","0%",333,145,0.5,9.1,"33.7%",619,"28.8%","27.7%",0.55,0.19
"Veigar","Support",1,"1.1%","2.2%","5.4%","0%","100%",1,2,3,2,"50.0%","15.4%","0%",-667,335,-41,0.9,"3.4%",182,"10.6%","8.2%",1.21,0.47
"Vel'Koz","Middle",4,"4.3%","3.2%","7.5%","50%","100%",21,9,19,4.4,"72.7%","17.6%","25%",73,3,0.5,7.7,"21.9%",984,"39.4%","24.3%",0.49,0.28
"Vi","Jungle",1,"1.1%","1.1%","2.2%","0%","100%",0,5,8,1.6,"57.1%","23.8%","0%",-261,-621,-9,4.8,"11.9%",142,"7.0%","13.3%",0.23,0.31
"Viktor","ADC",1,"1.1%","5.4%","14.0%","0%","100%",1,7,5,0.9,"75.0%","28.0%","0%",-813,-524,-51,6.3,"29.3%",720,"33.7%","23.5%",0.72,0.38
"Viktor","Middle",7,"7.5%","5.4%","14.0%","86%","71%",22,11,31,4.8,"60.9%","18.6%","0%",-286,-43,-5.3,8.8,"27.5%",580,"29.3%","23.7%",0.59,0.15
"Vladimir","Middle",5,"5.4%","6.5%","14.0%","60%","80%",13,14,28,2.9,"78.8%","25.0%","20%",-215,-182,-3,8,"24.9%",575,"29.7%","23.1%",0.46,0.14
"Vladimir","Top",2,"2.2%","6.5%","14.0%","0%","100%",1,6,4,0.8,"50.0%","25.0%","0%",664,178,12,8,"22.0%",504,"35.9%","22.4%",0.5,0.07
"Volibear","Top",1,"1.1%","0.0%","1.1%","100%","100%",3,0,8,11,"64.7%","0.0%","0%",-190,192,-14,7.4,"23.3%",522,"29.9%","21.0%",0.43,0.13
"Xayah","ADC",41,"44.1%","12.9%","57.0%","44%","32%",147,71,169,4.5,"73.0%","15.8%","27%",-16,74,7.1,9.6,"32.9%",498,"28.5%","27.5%",0.41,0.3
"Xin Zhao","Jungle",3,"3.2%","0.0%","3.2%","67%","67%",11,10,14,2.5,"61.0%","31.3%","33%",-458,-280,-3.7,4,"10.3%",271,"11.8%","16.5%",1.01,0.36
"Yasuo","ADC",1,"1.1%","10.8%","17.2%","0%","0%",2,6,1,0.5,"42.9%","33.3%","0%",-460,84,3,8.3,"33.9%",210,"13.7%","24.7%",0.32,0.08
"Yasuo","Middle",5,"5.4%","10.8%","17.2%","60%","80%",18,15,31,3.3,"68.1%","22.1%","40%",-50,-195,5.4,8.9,"25.2%",326,"17.6%","23.2%",0.46,0.26
"Yorick","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yuumi","Support",18,"19.4%","79.6%","98.9%","72%","0%",8,19,182,10,"83.3%","10.6%","11%",6,197,-11.7,0.3,"1.2%",379,"18.3%","9.8%",1.19,0.18
"Zed","ADC",1,"1.1%","0.0%","3.2%","0%","100%",4,4,1,1.3,"71.4%","20.0%","0%",-309,1633,-3,7.1,"17.8%",417,"26.2%","24.3%",0.32,0.11
"Zed","Middle",2,"2.2%","0.0%","3.2%","0%","100%",3,5,0,0.6,"37.5%","17.2%","50%",24,-270,-6.5,8,"23.0%",332,"23.4%","23.7%",0.42,0.2
"Zilean","Middle",2,"2.2%","4.3%","6.5%","100%","50%",6,3,24,10,"78.9%","14.3%","50%",5,131,-12,8.2,"26.5%",426,"21.4%","21.5%",0.51,0.16
"Zoe","Middle",6,"6.5%","3.2%","9.7%","33%","100%",14,11,23,3.4,"68.5%","15.3%","17%",23,-8,0.8,8.2,"23.5%",529,"29.5%","23.3%",0.41,0.25
"Zyra","Support",1,"1.1%","0.0%","1.1%","0%","100%",1,5,6,1.4,"70.0%","29.4%","0%",-862,84,-36,0.8,"2.0%",317,"20.0%","10.2%",1.35,0.3
