"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Urgot","Top",31,"34.1%","29.7%","67.0%","58%","6%",96,64,105,3.1,"59.1%","21.3%","26%",-60,-164,-0.4,7.8,"22.5%",375,"22.2%","22.3%",0.5,0.21
"Gragas","Jungle",10,"11.0%","8.8%","24.2%","60%","70%",27,17,60,5.1,"77.7%","19.8%","70%",103,88,-0.4,4.8,"12.8%",308,"19.1%","16.5%",0.65,0.29
"Syndra","Middle",10,"11.0%","13.2%","24.2%","60%","40%",30,26,58,3.4,"63.8%","21.8%","10%",54,64,4,8.6,"25.6%",452,"26.1%","22.1%",0.48,0.18
"Orianna","Middle",8,"8.8%","0.0%","8.8%","63%","88%",18,13,36,4.2,"68.4%","15.9%","0%",31,-46,1.5,9,"26.3%",438,"27.1%","23.7%",0.43,0.24
"Pyke","Support",8,"8.8%","1.1%","9.9%","63%","88%",21,20,54,3.8,"64.1%","21.5%","25%",118,-59,0.9,2,"7.2%",171,"8.2%","14.0%",1.56,0.5
"Galio","Support",14,"15.4%","28.6%","51.6%","64%","36%",12,43,139,3.5,"71.9%","23.5%","29%",32,55,1.8,1.9,"6.2%",188,"10.5%","10.1%",1.53,0.24
"LeBlanc","Middle",20,"22.0%","39.6%","61.5%","65%","60%",64,48,104,3.5,"59.8%","18.7%","15%",-26,14,1.8,7.9,"22.5%",546,"27.3%","21.1%",0.45,0.22
"Elise","Jungle",9,"9.9%","9.9%","19.8%","67%","100%",28,26,49,3,"63.1%","26.5%","22%",-163,-165,-4.6,5,"13.4%",291,"17.1%","17.1%",0.94,0.48
"Ivern","Jungle",3,"3.3%","5.5%","8.8%","67%","100%",0,5,29,5.8,"85.3%","15.2%","0%",-614,-525,-11.7,4.7,"12.8%",170,"9.4%","14.3%",0.39,0.28
"Jinx","ADC",6,"6.6%","1.1%","7.7%","67%","100%",25,9,25,5.6,"65.8%","12.2%","0%",-19,-147,-3.8,10.4,"36.5%",468,"27.2%","29.1%",0.32,0.42
"Nunu","Jungle",3,"3.3%","1.1%","4.4%","67%","100%",3,8,17,2.5,"60.6%","22.9%","33%",-292,-402,-4,4.7,"13.3%",113,"7.8%","15.3%",0.38,0.35
"Xayah","ADC",6,"6.6%","3.3%","9.9%","67%","83%",12,5,25,7.4,"57.8%","11.9%","17%",-16,-7,0.7,9.9,"33.5%",437,"21.9%","26.0%",0.39,0.42
"Olaf","Jungle",15,"16.5%","24.2%","41.8%","67%","53%",35,29,87,4.2,"62.2%","16.7%","20%",30,3,5.2,5.3,"14.3%",265,"13.7%","16.6%",0.79,0.44
"Camille","Jungle",6,"6.6%","8.8%","18.7%","67%","50%",16,16,32,3,"68.6%","29.6%","67%",-34,-241,0.5,4.9,"12.5%",259,"14.4%","16.5%",0.41,0.38
"Rakan","Support",15,"16.5%","17.6%","34.1%","67%","47%",14,31,116,4.2,"73.9%","22.1%","27%",-95,84,-7.9,0.5,"1.7%",157,"8.8%","9.9%",1.27,0.3
"Draven","ADC",13,"14.3%","44.0%","58.2%","69%","23%",46,27,52,3.6,"59.0%","17.3%","38%",126,-225,2.2,9.4,"31.3%",441,"25.8%","28.4%",0.4,0.28
"Vayne","ADC",8,"8.8%","6.6%","16.5%","75%","88%",41,12,32,6.1,"63.5%","15.8%","38%",6,57,-2,9.6,"29.7%",471,"25.1%","26.6%",0.44,0.39
"Rek'Sai","Jungle",12,"13.2%","9.9%","23.1%","75%","33%",47,28,71,4.2,"67.0%","22.0%","58%",452,284,3.1,5.4,"15.4%",299,"16.9%","18.7%",0.57,0.4
"Poppy","Top",5,"5.5%","5.5%","12.1%","80%","100%",16,14,25,2.9,"53.9%","23.7%","40%",-99,24,-6.8,7.4,"22.3%",404,"19.5%","20.4%",0.52,0.18
"Irelia","Middle",6,"6.6%","31.9%","42.9%","83%","50%",23,18,24,2.6,"56.6%","29.0%","33%",361,115,13,9,"27.5%",390,"18.3%","23.2%",0.41,0.15
"Jayce","Top",9,"9.9%","56.0%","71.4%","89%","33%",27,13,52,6.1,"64.8%","16.0%","11%",595,102,12,9.1,"25.4%",603,"28.9%","24.1%",0.48,0.27
"Akali","Top",1,"1.1%","27.5%","39.6%","100%","100%",4,2,2,3,"27.3%","40.0%","0%",296,404,8,8.3,"19.5%",368,"15.6%","17.2%",0.46,0.12
"Azir","Middle",1,"1.1%","0.0%","1.1%","100%","100%",9,1,4,13,"76.5%","12.5%","0%",-495,32,-10,10.4,"30.6%",888,"46.5%","29.1%",0.44,0.37
"Cho'gath","Top",1,"1.1%","0.0%","1.1%","100%","100%",3,1,4,7,"70.0%","50.0%","100%",-597,-575,-21,6.8,"16.7%",291,"20.2%","19.6%",0.59,0.11
