"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sylas","Jungle",5,"20.8%","41.7%","100.0%","40%","20%",16,14,19,2.5,"58.3%","17.7%","40%",136,313,4,4.6,"12.2%",288,"15.4%","17.4%",0.43,0.28
"Sylas","Middle",9,"37.5%","41.7%","100.0%","78%","22%",45,25,58,4.1,"56.9%","23.4%","33%",61,115,1.2,8.3,"23.7%",550,"25.8%","22.6%",0.43,0.15
"Syndra","ADC",1,"4.2%","4.2%","12.5%","100%","100%",10,2,8,9,"69.2%","15.4%","100%",160,19,-6,9.7,"33.1%",1012,"40.4%","27.5%",0.37,0.37
"Syndra","Middle",1,"4.2%","4.2%","12.5%","100%","100%",7,1,4,11,"61.1%","16.7%","0%",-77,-44,-3,8.8,"22.4%",653,"33.2%","23.7%",0.48,0.12
"Tahm Kench","Support",1,"4.2%","0.0%","4.2%","100%","100%",1,1,10,11,"64.7%","14.3%","0%",-36,371,1,2.2,"7.7%",90,"4.6%","12.3%",1.37,0.11
"Thresh","Support",5,"20.8%","20.8%","41.7%","60%","60%",3,15,60,4.2,"64.9%","22.1%","40%",107,-138,-7.8,0.4,"1.9%",139,"6.8%","10.7%",1.61,0.38
"Tristana","ADC",4,"16.7%","8.3%","25.0%","25%","100%",8,13,9,1.3,"43.6%","22.4%","0%",-45,-66,1.3,10.4,"33.0%",341,"21.5%","26.8%",0.31,0.57
"Twisted Fate","Middle",2,"8.3%","45.8%","54.2%","100%","100%",13,4,16,7.3,"69.0%","17.4%","50%",-68,-789,-25.5,7.5,"27.6%",561,"21.6%","25.1%",0.55,0.2
"Volibear","Support",1,"4.2%","0.0%","4.2%","0%","100%",0,6,1,0.2,"20.0%","27.3%","0%",-329,29,-1,1.9,"7.5%",139,"9.2%","7.6%",1.14,0.43
"Xayah","ADC",13,"54.2%","41.7%","95.8%","31%","8%",51,35,49,2.9,"60.2%","14.8%","23%",-94,-32,3.6,10.3,"37.6%",524,"27.3%","29.7%",0.37,0.35
"Xin Zhao","Jungle",1,"4.2%","0.0%","4.2%","100%","100%",7,1,6,13,"81.3%","14.3%","100%",1200,161,8,5.3,"13.5%",419,"17.5%","18.7%",0.73,0.24
"Yasuo","-",0,"0%","41.7%","41.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yuumi","Support",3,"12.5%","83.3%","95.8%","67%","0%",4,5,38,8.4,"71.2%","10.9%","0%",528,220,4,1.7,"5.7%",517,"21.2%","14.6%",1.14,0.26
"Zac","Jungle",1,"4.2%","0.0%","4.2%","0%","0%",1,3,6,2.3,"100.0%","18.8%","0%",-1200,-161,-8,3.9,"9.9%",183,"11.7%","14.4%",0.56,0.47
"Zoe","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
