"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jarvan IV","Top",4,"1.9%","8.7%","34.6%","0%","100%",2,14,13,1.1,"62.5%","24.1%","0%",-348,-230,-9.5,8.2,"24.3%",274,"21.0%","20.1%",0.52,0.14
"Jax","Jungle",10,"4.8%","2.9%","10.1%","80%","90%",26,18,65,5.1,"64.5%","18.8%","30%",68,12,-5.8,6,"17.9%",234,"12.5%","18.4%",0.69,0.61
"Jax","Top",5,"2.4%","2.9%","10.1%","40%","100%",10,11,12,2,"52.4%","18.3%","20%",202,360,5.6,9.2,"26.7%",291,"21.5%","24.8%",0.48,0.21
"Jayce","Middle",1,"0.5%","46.2%","70.7%","0%","0%",4,3,5,3,"69.2%","30.0%","100%",514,95,-9,9.5,"27.1%",469,"26.0%","28.2%",0.42,0.24
"Jayce","Top",50,"24.0%","46.2%","70.7%","52%","20%",148,114,203,3.1,"66.9%","20.5%","34%",302,133,9.3,9.1,"26.7%",520,"29.8%","25.1%",0.53,0.29
"Jinx","ADC",4,"1.9%","1.4%","3.4%","75%","100%",16,6,20,6,"87.8%","16.2%","0%",364,258,14,11,"32.5%",629,"38.5%","29.0%",0.42,0.5
"Kai'Sa","ADC",60,"28.8%","6.7%","35.6%","42%","58%",180,103,192,3.6,"71.3%","16.0%","32%",-20,9,2.2,10.5,"33.2%",424,"28.2%","28.0%",0.37,0.44
"Kalista","ADC",40,"19.2%","35.1%","54.3%","53%","38%",132,95,180,3.3,"68.1%","19.5%","30%",74,14,5.9,10.1,"32.8%",376,"23.3%","27.0%",0.46,0.47
"Karma","Middle",2,"1.0%","5.8%","9.6%","0%","100%",0,6,6,1,"85.7%","30.0%","0%",-324,-305,-2,7.4,"17.9%",184,"19.8%","18.0%",0.59,0.17
"Karma","Support",2,"1.0%","5.8%","9.6%","0%","100%",0,1,2,2,"20.0%","5.0%","0%",-532,-167,-27.5,0.9,"3.6%",238,"15.3%","6.9%",1.34,0.29
