"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nocturne","Jungle",28,"13.5%","34.6%","48.1%","39%","68%",61,67,143,3,"68.5%","21.3%","29%",-43,2,-1.8,5.3,"14.4%",222,"13.6%","17.1%",0.48,0.45
"Olaf","ADC",1,"0.5%","30.3%","50.5%","0%","0%",6,3,8,4.7,"93.3%","25.0%","100%",-315,119,-30,4.6,"13.5%",267,"16.1%","19.8%",1.23,0.73
"Olaf","Jungle",41,"19.7%","30.3%","50.5%","56%","39%",73,75,195,3.6,"64.9%","20.0%","37%",136,189,5.5,5.1,"12.9%",232,"14.0%","15.9%",1.02,0.62
"Orianna","Middle",3,"1.4%","0.5%","1.9%","67%","0%",6,5,16,4.4,"68.8%","17.9%","0%",-141,-107,-5.3,8.7,"23.6%",350,"24.8%","21.9%",0.54,0.19
"Ornn","Support",3,"1.4%","1.9%","5.8%","67%","67%",3,2,32,17.5,"79.5%","10.5%","67%",498,696,7.7,2.6,"7.2%",181,"12.2%","16.5%",1.65,0.32
"Ornn","Top",5,"2.4%","1.9%","5.8%","80%","80%",13,9,29,4.7,"59.2%","30.0%","20%",-204,11,-11.2,7,"18.3%",244,"13.9%","18.5%",0.55,0.09
"Pyke","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rakan","Support",30,"14.4%","16.3%","30.8%","63%","40%",23,62,258,4.5,"77.8%","21.9%","20%",-181,-144,-9.3,0.7,"2.6%",126,"7.8%","9.9%",1.8,0.58
"Rek'Sai","Jungle",29,"13.9%","7.7%","21.6%","52%","52%",74,73,120,2.7,"60.4%","22.1%","45%",122,116,2.5,5.3,"13.5%",240,"14.3%","17.2%",0.94,0.59
"Renekton","Middle",1,"0.5%","0.0%","1.0%","0%","100%",2,3,1,1,"75.0%","16.7%","0%",-240,-156,-7,6.9,"22.5%",213,"18.1%","22.1%",0.58,0.24
"Renekton","Top",1,"0.5%","0.0%","1.0%","0%","0%",0,2,1,0.5,"33.3%","11.1%","0%",-1063,-326,-20,8.6,"30.0%",141,"15.7%","21.7%",0.47,0.17
"Riven","Jungle",3,"1.4%","0.5%","3.4%","33%","67%",4,9,14,2,"81.8%","25.0%","0%",-590,-663,-8.7,4.9,"12.3%",146,"9.5%","16.7%",0.44,0.47
"Riven","Top",3,"1.4%","0.5%","3.4%","33%","100%",9,6,14,3.8,"79.3%","20.7%","0%",-385,-359,-9,9.6,"26.9%",324,"23.9%","25.6%",0.54,0.1
"Rumble","Top",1,"0.5%","0.0%","0.5%","0%","100%",0,4,2,0.5,"50.0%","28.6%","0%",445,264,20,7.7,"20.5%",481,"32.9%","19.4%",0.52,0.03
"Ryze","Middle",25,"12.0%","36.1%","58.7%","56%","64%",96,44,114,4.8,"69.3%","18.9%","20%",38,-22,0.3,9.6,"26.7%",453,"27.3%","24.7%",0.53,0.23
"Ryze","Top",22,"10.6%","36.1%","58.7%","27%","36%",40,63,69,1.7,"56.8%","23.7%","14%",-139,-172,-2,9.2,"27.5%",425,"26.0%","24.0%",0.57,0.19
"Sejuani","Jungle",18,"8.7%","6.7%","15.4%","28%","61%",17,32,73,2.8,"68.7%","15.8%","44%",-134,-115,-3.6,4.8,"12.4%",156,"10.8%","15.5%",0.44,0.55
"Shen","Support",22,"10.6%","5.3%","15.9%","68%","64%",24,60,162,3.1,"75.0%","30.3%","32%",135,107,2.6,2.4,"7.4%",104,"6.0%","13.1%",1.7,0.51
"Sion","Middle",13,"6.3%","9.6%","29.3%","38%","77%",14,30,57,2.4,"58.2%","21.1%","8%",-26,-76,-6.2,8,"20.8%",302,"19.8%","18.9%",0.49,0.22
"Sion","Top",28,"13.5%","9.6%","29.3%","54%","68%",39,55,159,3.6,"62.5%","19.6%","25%",-148,-52,-4.1,7.7,"21.3%",305,"19.1%","19.1%",0.49,0.17
"Sivir","ADC",28,"13.5%","7.2%","20.7%","36%","71%",59,46,96,3.4,"69.5%","13.7%","14%",-253,-108,-5.3,11.1,"35.4%",536,"32.3%","28.8%",0.42,0.46
"Skarner","Jungle",3,"1.4%","0.5%","1.9%","33%","67%",0,4,14,3.5,"63.6%","16.7%","67%",104,-132,-1,4.7,"11.0%",127,"9.4%","14.3%",1.19,0.41
"Soraka","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Swain","Middle",1,"0.5%","0.0%","0.5%","0%","100%",1,5,3,0.8,"100.0%","22.7%","0%",-616,-866,-27,7.3,"23.8%",379,"26.8%","21.3%",0.41,0.13
"Sylas","Middle",13,"6.3%","17.8%","30.3%","38%","23%",15,28,55,2.5,"63.6%","21.2%","0%",3,45,0.6,8.6,"23.8%",299,"19.3%","21.4%",0.51,0.27
"Sylas","Top",13,"6.3%","17.8%","30.3%","46%","31%",22,33,63,2.6,"55.9%","22.9%","31%",-270,-34,-6.3,8.1,"23.3%",390,"23.5%","21.0%",0.52,0.21
"Syndra","Middle",11,"5.3%","2.4%","7.7%","36%","91%",25,30,39,2.1,"57.7%","19.9%","45%",101,117,7.5,8.6,"25.4%",414,"24.5%","22.8%",0.48,0.21
