"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Sivir","ADC",25,"8.6%","3.1%","11.6%","52%","96%",95,50,130,4.5,"69.9%","15.8%",10.3,599,"31.3%","27.4%",0.36,0.38
"Morgana","Support",24,"8.2%","13.7%","22.9%","42%","92%",22,68,204,3.3,"79.3%","21.7%",0.5,207,"10.9%","10.7%",1.31,0.33
"Poppy","Top",24,"8.2%","5.1%","14.4%","71%","29%",54,43,165,5.1,"59.5%","16.3%",7.2,361,"18.3%","19.1%",0.48,0.18
"Xayah","ADC",23,"7.9%","4.1%","12.0%","70%","65%",88,39,139,5.8,"70.1%","15.5%",9.7,518,"27.5%","27.0%",0.34,0.36
"Urgot","Middle",22,"7.5%","15.4%","54.1%","45%","27%",71,59,90,2.7,"63.4%","21.5%",7.7,317,"19.5%","21.3%",0.4,0.35
"Irelia","Top",22,"7.5%","36.3%","50.0%","59%","68%",78,63,104,2.9,"56.9%","26.4%",8.6,378,"21.0%","23.5%",0.45,0.11
"Akali","Middle",22,"7.5%","32.9%","49.0%","41%","50%",86,48,92,3.7,"62.5%","15.4%",8,399,"23.1%","22.5%",0.37,0.2
"Kindred","Jungle",21,"7.2%","5.8%","13.0%","52%","90%",68,67,119,2.8,"72.8%","24.5%",5.8,359,"18.5%","19.1%",0.48,0.53
"Ashe","ADC",20,"6.8%","5.8%","12.7%","65%","65%",72,44,128,4.5,"69.4%","20.4%",9.4,554,"28.5%","24.4%",0.31,0.44
"Ryze","Top",19,"6.5%","26.7%","48.3%","47%","68%",42,57,57,1.7,"51.0%","20.7%",8.6,447,"25.6%","24.0%",0.46,0.17
"Kha'zix","Jungle",19,"6.5%","5.8%","12.3%","53%","74%",67,47,89,3.3,"61.4%","19.2%",5.1,303,"15.5%","17.9%",0.77,0.43
"Irelia","Middle",18,"6.2%","36.3%","50.0%","22%","56%",63,69,82,2.1,"66.2%","22.9%",8.5,329,"19.5%","24.3%",0.38,0.17
