"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","Middle",1,"1.1%","0.0%","1.1%","0%","100%",1,2,3,2,"100.0%","12.5%","0%",-776,-401,-17,8.4,"26.9%",506,"30.6%","24.5%",0.29,0.09
"Talon","Middle",1,"1.1%","0.0%","1.1%","100%","100%",8,2,3,5.5,"50.0%","15.4%","0%",-503,-691,-11,8.3,"22.7%",543,"23.0%","22.9%",0.29,0.22
"Taric","Support",4,"4.4%","0.0%","4.4%","25%","75%",2,12,21,1.9,"76.7%","20.0%","25%",168,47,16,3.7,"9.8%",86,"5.6%","13.3%",1.36,0.27
"Thresh","Support",5,"5.5%","5.5%","11.0%","60%","20%",7,12,53,5,"76.9%","22.2%","80%",114,168,-7.8,0.4,"1.3%",122,"6.9%","9.8%",1.6,0.36
"Tristana","ADC",4,"4.4%","2.2%","9.9%","50%","100%",19,7,14,4.7,"70.2%","11.9%","25%",274,136,-2,10.7,"34.0%",446,"26.3%","29.9%",0.39,0.54
"Tristana","Middle",3,"3.3%","2.2%","9.9%","100%","100%",16,8,18,4.3,"56.7%","26.7%","0%",254,342,4,9.1,"28.2%",612,"24.7%","25.5%",0.4,0.19
"Trundle","Jungle",1,"1.1%","1.1%","2.2%","0%","100%",2,6,8,1.7,"58.8%","33.3%","0%",-642,-861,-14,3.8,"10.9%",222,"11.4%","14.2%",0.21,0.38
"Twisted Fate","Middle",8,"8.8%","5.5%","14.3%","50%","50%",21,16,48,4.3,"56.6%","13.8%","0%",180,-86,2.4,8.9,"27.7%",417,"22.0%","26.2%",0.49,0.14
"Twitch","Middle",1,"1.1%","0.0%","1.1%","100%","100%",17,5,13,6,"73.2%","19.2%","100%",229,-748,-4,8.3,"44.4%",1148,"39.6%","31.5%",0.47,0.35
"Urgot","Top",1,"1.1%","0.0%","1.1%","100%","100%",11,3,9,6.7,"74.1%","21.4%","100%",311,290,8,7.7,"24.2%",734,"26.9%","26.2%",0.52,0.38
"Varus","ADC",6,"6.6%","2.2%","8.8%","67%","83%",29,7,25,7.7,"60.0%","15.2%","50%",586,216,19.8,10.4,"33.7%",535,"29.0%","27.3%",0.37,0.6
"Vayne","ADC",3,"3.3%","0.0%","4.4%","67%","67%",16,5,20,7.2,"67.9%","21.7%","0%",221,401,8.3,9.7,"31.8%",610,"29.2%","25.8%",0.35,0.38
"Vayne","Top",1,"1.1%","0.0%","4.4%","100%","100%",3,2,1,2,"28.6%","22.2%","0%",1032,359,28,9.8,"28.5%",406,"19.1%","25.5%",0.63,0.18
"Vi","Jungle",2,"2.2%","0.0%","2.2%","50%","100%",3,5,13,3.2,"61.5%","18.5%","50%",459,500,12,5.6,"14.8%",156,"9.0%","18.0%",0.46,0.42
"Viktor","Top",5,"5.5%","0.0%","5.5%","80%","60%",15,14,20,2.5,"47.9%","24.6%","0%",169,534,19.8,8.5,"23.5%",622,"31.8%","22.0%",0.43,0.16
"Vladimir","Top",6,"6.6%","3.3%","9.9%","33%","67%",10,14,15,1.8,"41.0%","14.9%","0%",-323,137,-4.3,8.6,"26.3%",394,"23.8%","22.7%",0.51,0.06
"Volibear","Support",2,"2.2%","1.1%","3.3%","50%","100%",7,15,19,1.7,"76.5%","37.5%","50%",513,231,5,2.1,"7.6%",158,"10.1%","13.4%",1.61,0.33
"Xayah","ADC",35,"38.5%","36.3%","74.7%","49%","20%",125,75,142,3.6,"61.7%","16.1%","14%",-122,40,-0.5,10.1,"33.4%",452,"26.8%","27.6%",0.39,0.31
"Xerath","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xin Zhao","Jungle",5,"5.5%","0.0%","5.5%","20%","80%",15,26,19,1.3,"51.5%","29.5%","60%",-377,-509,-10,4.2,"10.6%",268,"15.0%","15.9%",0.63,0.33
"Yasuo","ADC",4,"4.4%","25.3%","35.2%","75%","0%",19,13,21,3.1,"48.2%","21.7%","0%",210,752,11.5,9.3,"36.6%",360,"15.9%","25.1%",0.38,0.19
"Yasuo","Middle",5,"5.5%","25.3%","35.2%","20%","60%",7,24,19,1.1,"47.3%","21.1%","20%",-230,-300,-1,9.3,"27.9%",373,"20.4%","24.0%",0.39,0.2
"Yorick","Top",1,"1.1%","0.0%","1.1%","100%","100%",8,1,5,13,"56.5%","10.0%","0%",-218,376,-9,8.1,"33.1%",592,"22.9%","27.0%",0.36,0.16
"Yuumi","Support",20,"22.0%","61.5%","83.5%","50%","5%",26,46,195,4.8,"78.6%","16.5%","30%",-113,23,-12.7,0.4,"1.5%",344,"17.5%","10.6%",1.19,0.2
"Zed","Middle",2,"2.2%","1.1%","3.3%","50%","100%",4,7,5,1.3,"34.6%","25.9%","0%",-107,-237,1,8.9,"24.4%",416,"20.8%","21.8%",0.3,0.22
"Zilean","Support",2,"2.2%","0.0%","2.2%","50%","50%",12,13,30,3.2,"62.7%","17.3%","0%",-238,455,10,4.2,"13.0%",535,"20.0%","20.6%",0.32,0.08
"Zoe","Middle",1,"1.1%","0.0%","1.1%","0%","0%",2,1,0,2,"66.7%","7.7%","0%",-232,146,0,8.8,"23.9%",481,"37.6%","26.1%",0.55,0.2
