"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Stunt","100 Thieves","Support",2,"0%","50%",2,7,9,1.6,"84.6%","15.4%","20.0%","0%",-184,114,-10,1.3,"6.3%",185,"10.6%","12.6%",1.06,0.26
"Svenskeren","Cloud9","Jungle",16,"75%","63%",42,44,112,3.5,"68.4%","18.7%","28.8%","44%",-17,27,2.2,5.1,"14.7%",301,"13.9%","17.4%",0.42,0.38
"V1per","FlyQuest","Top",19,"53%","53%",31,37,81,3,"55.4%","15.3%","19.3%","21%",-183,8,-6.2,8.8,"26.2%",318,"19.3%","22.3%",0.49,0.14
"Vulcan","Clutch Gaming","Support",18,"28%","56%",9,54,122,2.4,"72.0%","4.9%","23.3%","33%",-90,-159,-2,1.3,"3.8%",114,"6.6%","9.7%",1.52,0.28
"Wiggily","Counter Logic Gaming","Jungle",15,"47%","13%",18,40,63,2,"67.5%","15.0%","28.2%","53%",23,-42,-1.2,4.7,"12.7%",174,"11.1%","16.0%",0.36,0.41
"WildTurtle","FlyQuest","ADC",19,"53%","58%",65,41,77,3.5,"70.3%","32.2%","21.4%","32%",12,15,-1.2,10,"30.9%",501,"30.7%","27.5%",0.32,0.31
"Xmithie","Team Liquid","Jungle",18,"78%","50%",40,38,123,4.3,"69.4%","17.0%","29.0%","17%",-50,-7,2.6,5.4,"15.1%",281,"13.7%","17.1%",0.69,0.35
"Zeyzal","Cloud9","Support",17,"76%","47%",16,32,145,5,"68.8%","6.8%","19.9%","29%",39,-12,0.8,1.8,"6.5%",186,"8.8%","12.1%",1.31,0.28
"ZionSpartan","Counter Logic Gaming","Top",17,"41%","71%",24,34,53,2.3,"58.3%","18.2%","20.1%","24%",78,-20,-1.2,7.8,"22.6%",320,"20.2%","21.8%",0.57,0.12
"Zven","Team SoloMid","ADC",18,"72%","50%",69,27,81,5.6,"70.1%","32.2%","16.2%","17%",129,63,4.2,9.5,"28.7%",656,"32.9%","26.5%",0.38,0.37
