result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,1.017,1.58,1.105,1.036,1.089,1.031,0.92,0.865,1.04,0.834,5.827,4.6899999999999995
1,0.992,0.979,0.8,0.983,1.062,0.713,0.723,1.176,0.915,0.891,4.816,4.418
0,1.127,0.748,1.153,0.831,0.889,0.85,0.979,0.8,0.983,0.893,4.748,4.505
1,0.992,1.139,0.926,0.987,0.8,1.139,1.265,1.154,0.852,0.942,4.844,5.352
0,1.178,0.865,0.927,0.866,0.913,0.992,0.786,1.115,1.311,0.893,4.7490000000000006,5.0969999999999995
0,0.778,1.118,0.8,0.87,0.891,1.038,1.159,1.096,1.079,0.906,4.457000000000001,5.278
0,0.695,1.436,1.049,1.079,0.646,1.2,1.099,1.024,0.87,0.891,4.904999999999999,5.084
0,0.778,1.099,0.8,0.299,0.8,1.049,1.15,1.096,1.169,0.927,3.776,5.391
1,0.916,1.129,0.85,0.984,0.763,0.782,1.027,0.837,0.896,0.778,4.642,4.32
0,0.8,0.744,0.76,0.896,0.778,1.055,1.129,1.185,0.999,0.8,3.978,5.168
1,0.636,0.808,1.273,1.024,1.266,,0.883,0.897,1.004,0.8,5.007,
1,0.837,1.173,0.897,0.975,0.793,1.096,0.775,0.8,0.868,0.977,4.675,4.516
1,1.083,0.887,1.076,1.039,1.266,1.061,1.173,0.865,0.975,0.793,5.351,4.867
1,1.049,1.264,1.102,0.772,1.012,0.491,1.237,0.793,1.081,1.039,5.199,4.641
0,0.594,1.472,0.793,1.033,1.151,1.049,0.922,1.102,1.033,1.021,5.043,5.127
1,0.917,1.436,0.856,1.079,0.8,0.975,0.786,1.115,0.983,0.8,5.087999999999999,4.659000000000001
1,1.024,0.786,0.8,0.983,0.8,1.049,0.769,1.096,1.079,0.945,4.393000000000001,4.938000000000001
0,1.038,1.23,1.096,1.079,0.8,0.975,0.979,1.115,0.823,0.8,5.242999999999999,4.692
1,1.085,0.92,0.913,0.843,0.951,0.625,1.168,0.789,0.727,0.778,4.712,4.087
0,0.732,0.794,0.837,0.773,0.747,1.085,0.903,0.8,1.045,0.951,3.883,4.784
0,1.78,1.265,1.131,0.866,0.918,0.62,0.723,1.176,0.829,0.895,5.96,4.243
0,0.778,0.732,0.916,0.829,0.998,0.783,0.78,1.06,0.866,0.942,4.253,4.431
1,1.78,1.265,1.154,0.876,0.789,1.2,0.723,1.176,0.969,0.875,5.864,4.9430000000000005
1,1.216,1.017,1.105,1.033,1.376,0.725,0.884,0.861,1.013,0.765,5.747,4.247999999999999
0,0.636,0.775,0.952,0.66,0.765,0.594,1.237,1.105,1.162,0.8,3.7880000000000003,4.898
0,1.155,1.139,0.8,0.8,0.893,1.055,1.129,1.051,1.113,0.763,4.787,5.111000000000001
1,0.916,1.419,1.051,1.113,0.763,1.029,0.979,0.68,0.8,0.893,5.2620000000000005,4.381
0,0.969,1.415,1.184,0.8,0.918,1.179,0.818,1.102,0.772,0.856,5.286,4.727
0,1.989,0.935,1.074,0.772,0.8,1.178,0.78,1.184,0.852,0.8,5.57,4.794
0,1.78,1.265,1.259,0.843,0.942,1.301,1.264,1.149,1.033,1.021,6.089,5.768
