"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sylas","Jungle",6,"2.7%","13.0%","26.9%","33%","100%",21,13,31,4,"72.2%","16.9%","33%",-85,-260,-3,5.3,"14.6%",342,"16.4%","17.0%",0.58,0.45
"Sylas","Middle",11,"4.9%","13.0%","26.9%","55%","64%",34,27,47,3,"56.3%","23.1%","27%",-124,-9,-11.4,8.1,"23.6%",415,"22.3%","22.1%",0.41,0.22
"Sylas","Top",14,"6.3%","13.0%","26.9%","50%","93%",52,45,75,2.8,"68.6%","25.4%","29%",-264,-306,-11.2,7.1,"23.6%",402,"22.0%","22.0%",0.5,0.16
"Syndra","ADC",3,"1.3%","15.7%","30.9%","33%","100%",7,6,16,3.8,"53.5%","15.4%","0%",-376,44,1.3,8.7,"27.1%",361,"22.5%","22.3%",0.72,0.37
"Syndra","Middle",31,"13.9%","15.7%","30.9%","42%","74%",61,56,121,3.3,"58.0%","16.0%","19%",134,-7,5.8,8.6,"25.4%",460,"27.0%","23.2%",0.52,0.19
"Tahm Kench","Support",42,"18.8%","10.8%","29.6%","57%","45%",16,73,263,3.8,"65.0%","20.2%","19%",386,223,25.4,3,"7.8%",120,"7.0%","12.1%",1.13,0.21
"Taliyah","Jungle",2,"0.9%","5.4%","8.1%","50%","50%",2,6,6,1.3,"47.1%","30.0%","100%",-316,-42,-4,6.1,"18.0%",326,"18.8%","17.3%",1.18,0.47
"Taliyah","Middle",4,"1.8%","5.4%","8.1%","25%","100%",11,7,11,3.1,"64.7%","16.7%","25%",58,-252,-5.5,8.2,"23.4%",365,"24.4%","23.7%",0.65,0.22
"Taric","Support",64,"28.7%","14.3%","43.0%","52%","34%",17,145,509,3.6,"78.0%","22.5%","17%",-179,29,-5.8,1.1,"2.5%",76,"4.6%","8.7%",1.57,0.29
"Thresh","Support",36,"16.1%","12.1%","28.3%","47%","42%",13,85,273,3.4,"71.5%","23.2%","39%",121,29,1,1,"2.4%",90,"5.5%","8.6%",1.74,0.4
"Tristana","Middle",2,"0.9%","0.0%","0.9%","100%","0%",3,1,6,9,"52.9%","11.1%","50%",604,173,-3,9.6,"27.2%",266,"22.6%","24.8%",0.6,0.35
"Trundle","Jungle",59,"26.5%","18.8%","45.3%","61%","34%",80,110,426,4.6,"71.1%","18.8%","32%",-114,-214,-2.9,4.9,"13.2%",154,"8.6%","15.6%",0.63,0.63
"Tryndamere","Top",1,"0.4%","0.4%","0.9%","0%","100%",0,2,0,0,"0.0%","18.2%","0%",-9,128,-1,10.5,"34.7%",141,"15.3%","26.8%",0.45,0.12
"Twitch","ADC",1,"0.4%","0.0%","0.4%","0%","100%",2,6,1,0.5,"42.9%","35.3%","0%",-802,-553,-37,6.7,"29.1%",330,"16.0%","20.8%",0.28,0.36
"Varus","ADC",45,"20.2%","31.8%","53.8%","58%","53%",168,91,199,4,"69.5%","20.3%","20%",149,79,12.9,9.8,"31.7%",572,"30.3%","27.4%",0.45,0.44
"Varus","Middle",4,"1.8%","31.8%","53.8%","50%","50%",16,6,22,6.3,"84.4%","10.2%","50%",409,231,13.8,8.7,"29.7%",665,"35.1%","26.4%",0.54,0.54
"Vayne","ADC",2,"0.9%","0.0%","1.3%","50%","100%",9,3,9,6,"81.8%","13.6%","50%",-37,-105,-7.5,9.1,"36.6%",448,"30.8%","30.5%",0.43,0.41
"Vayne","Top",1,"0.4%","0.0%","1.3%","0%","100%",2,1,0,2,"50.0%","14.3%","100%",-446,-738,-20,7.6,"21.3%",203,"17.0%","22.1%",0.51,0.21
"Vel'koz","Middle",3,"1.3%","0.9%","2.2%","100%","100%",12,3,22,11.3,"81.0%","23.1%","67%",424,350,8,7.8,"22.1%",555,"29.0%","22.1%",0.63,0.45
"Viktor","Middle",11,"4.9%","1.8%","8.1%","36%","45%",38,25,38,3,"63.9%","16.7%","9%",57,8,5,9.1,"27.6%",602,"31.6%","25.8%",0.54,0.24
