"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nami","Support",2,"0.9%","0.0%","0.9%","0%","100%",0,7,4,0.6,"80.0%","25.0%","0%",-235,-245,-7,0.8,"2.4%",102,"9.4%","6.3%",1.56,0.32
"Nautilus","Middle",8,"3.6%","17.9%","52.5%","63%","38%",21,22,66,4,"68.5%","24.7%","25%",-98,202,1.9,7,"19.0%",323,"17.4%","19.3%",0.48,0.34
"Nautilus","Support",69,"30.9%","17.9%","52.5%","42%","39%",42,220,380,1.9,"59.7%","25.5%","25%",25,-38,0.4,1.2,"3.2%",122,"7.2%","8.8%",1.61,0.33
"Neeko","Middle",3,"1.3%","0.0%","1.3%","67%","33%",3,3,16,6.3,"59.4%","13.6%","0%",14,-18,12,9.5,"28.3%",380,"23.2%","22.4%",0.45,0.25
"Nidalee","Jungle",2,"0.9%","0.9%","1.8%","50%","100%",3,4,13,4,"84.2%","21.1%","50%",37,340,5.5,6.9,"20.4%",338,"18.5%","21.1%",0.94,0.59
"Nocturne","Jungle",3,"1.3%","2.2%","3.6%","100%","100%",6,6,23,4.8,"56.9%","40.0%","33%",132,663,12.3,6.5,"18.4%",225,"12.1%","17.3%",0.75,0.48
"Olaf","Jungle",54,"24.2%","30.0%","54.3%","56%","41%",132,106,291,4,"69.2%","19.6%","31%",158,295,6,5.7,"15.4%",288,"15.9%","18.1%",0.43,0.53
"Orianna","Middle",10,"4.5%","1.3%","5.8%","30%","70%",23,17,39,3.6,"76.5%","14.7%","20%",-21,79,1.7,8.7,"25.5%",362,"25.1%","24.7%",0.59,0.29
"Ornn","Middle",22,"9.9%","43.9%","86.1%","59%","5%",35,41,142,4.3,"68.1%","17.6%","9%",-246,-131,-8.6,7.2,"19.8%",271,"16.4%","19.6%",0.54,0.22
"Ornn","Top",72,"32.3%","43.9%","86.1%","57%","18%",100,149,422,3.5,"63.9%","20.6%","26%",68,99,0.4,7.3,"21.4%",339,"20.0%","19.9%",0.48,0.16
"Pantheon","Middle",16,"7.2%","20.6%","29.1%","56%","50%",36,30,58,3.1,"59.5%","20.3%","31%",-225,-298,-14.2,7.4,"21.3%",265,"16.6%","20.7%",0.53,0.16
"Pantheon","Top",3,"1.3%","20.6%","29.1%","67%","67%",4,14,11,1.1,"34.9%","29.8%","0%",153,-34,2,6.6,"19.4%",272,"14.7%","17.5%",0.47,0.15
